time	group	action
1386342452359	003	seek_start
1386342452441	003	seek_end
1386342453239	003	seek_start
1386342453342	003	seek_end
1386342454481	003	seek_start
1386342454564	003	seek_end
1386342466597	003	seek_start
1386342466684	003	seek_end
1386342498373	003	seek_start
1386342498462	003	seek_end
1386342500730	003	seek_start
1386342500817	003	seek_end
1386342505341	003	seek_start
1386342505451	003	seek_end
1386342523471	003	seek_start
1386342523561	003	seek_end
1386342524735	003	seek_start
1386342524830	003	seek_end
1386342582218	k1	saveannotation assessment
1386342582234	k1	videoplayed
1386342582749	k1	assessmentdisplaybegin
1386342589098	k1	videoplayed
1386342576523	007	loadvideo
1386342595993	k1	clickassessmentfromlist
1386342596118	k1	assessmentdisplaybegin
1386342601219	k1	videoplayed
1386342679649	007	videopaused
1386342715642	003	seek_start
1386342715708	003	seek_end
1386342716451	003	seek_start
1386342716517	003	seek_end
1386342718393	003	seek_start
1386342718483	003	seek_end
1386342719278	003	seek_start
1386342719375	003	seek_end
1386342725580	003	seek_start
1386342725670	003	seek_end
1386342726293	003	seek_start
1386342726382	003	seek_end
1386342726960	003	seek_start
1386342727044	003	seek_end
1386342728061	003	seek_start
1386342728157	003	seek_end
1386342728865	003	seek_start
1386342728954	003	seek_end
1386342765033	003	seek_start
1386342765091	003	seek_end
1386342749354	k1	saveannotation assessment
1386342749354	k1	videoplayed
1386342749868	k1	assessmentdisplaybegin
1386342758932	k1	videoplayed
1386342780218	003	seek_start
1386342780372	003	seek_end
1386342781056	003	seek_start
1386342781179	003	seek_end
1386342781764	003	seek_start
1386342781873	003	seek_end
1386342782530	003	seek_start
1386342782630	003	seek_end
1386342786197	003	seek_start
1386342786307	003	seek_end
1386342787057	003	seek_start
1386342787146	003	seek_end
1386342792052	003	seek_start
1386342792170	003	seek_end
1386342793160	003	seek_start
1386342793303	003	seek_end
1386342794180	003	seek_start
1386342794293	003	seek_end
1386342795011	003	seek_start
1386342795110	003	seek_end
1386342795738	003	seek_start
1386342795830	003	seek_end
1386342797660	003	seek_start
1386342797748	003	seek_end
1386342798410	003	seek_start
1386342798498	003	seek_end
1386342799086	003	seek_start
1386342799160	003	seek_end
1386342799881	003	seek_start
1386342799979	003	seek_end
1386342806133	003	seek_start
1386342806212	003	seek_end
1386342806903	003	seek_start
1386342806968	003	seek_end
1386342810951	003	seek_start
1386342811050	003	seek_end
1386342811820	003	seek_start
1386342811887	003	seek_end
1386342812894	003	seek_start
1386342813003	003	seek_end
1386342813944	003	seek_start
1386342814055	003	seek_end
1386342815907	003	seek_start
1386342816007	003	seek_end
1386342816703	003	seek_start
1386342816801	003	seek_end
1386342817528	003	seek_start
1386342817624	003	seek_end
1386342819369	003	seek_start
1386342819471	003	seek_end
1386342835860	003	seek_start
1386342835994	003	seek_end
1386342836639	003	seek_start
1386342836735	003	seek_end
1386342837355	003	seek_start
1386342837448	003	seek_end
1386342839430	003	seek_start
1386342839501	003	seek_end
1386342840104	003	seek_start
1386342840182	003	seek_end
1386342840930	003	seek_start
1386342841025	003	seek_end
1386342847785	003	seek_start
1386342847903	003	seek_end
1386342848781	003	seek_start
1386342848914	003	seek_end
1386342919349	k1	videopaused
1386342964622	003	seek_start
1386342964731	003	seek_end
1386342966150	003	seek_start
1386342966269	003	seek_end
1386343071169	007	videoplayed
1386343098162	k1	saveannotation assessment
1386343098162	k1	videoplayed
1386343098693	k1	assessmentdisplaybegin
1386343102756	k1	submitassessmenttask
1386343107062	k1	videoplayed
1386343112241	k1	videopaused
1386343113411	k1	videoplayed
1386343114924	k1	videopaused
1386343118769	007	videopaused
1386343252599	k2	videoplayed
1386343257622	k2	assessmentdisplaybegin
1386343257637	k2	assessmentdisplaybegin
1386343257653	k2	assessmentdisplaybegin
