time	group	action
1386323817181	layout_decisions2	loadvideo
1386323848034	layout_decisions2	saveannotation toc
1386323848041	layout_decisions2	videoplayed
1386323851852	layout_decisions2	seek_start
1386323852052	layout_decisions2	seek_end
1386323853388	layout_decisions2	seek_start
1386323853580	layout_decisions2	seek_end
1386323982555	layout_decisions2	videopaused
1386323983632	layout_decisions2	seek_start
1386323984401	layout_decisions2	seek_end
1386324009944	layout_decisions2	videopaused
1386324011156	layout_decisions2	videoplayed
1386324011545	layout_decisions2	videopaused
1386324014810	layout_decisions2	seek_start
1386324016990	layout_decisions2	seek_end
1386324037768	layout_decisions2	videopaused
1386324064781	layout_decisions2	saveannotation toc
1386324064787	layout_decisions2	videoplayed
1386324077797	layout_decisions2	seek_start
1386324078318	layout_decisions2	seek_end
1386324096452	layout_decisions2	seek_start
1386324098259	layout_decisions2	seek_end
1386324100515	layout_decisions2	seek_start
1386324102559	layout_decisions2	seek_end
1386324108728	layout_decisions2	videopaused
1386324113083	layout_decisions2	saveannotation toc
1386324113087	layout_decisions2	videoplayed
1386324294807	layout_decisions2	videopaused
1386324315715	layout_decisions2	saveannotation tags
1386324315721	layout_decisions2	videoplayed
1386324494273	layout_decisions2	videopaused
1386324697670	layout_decisions2	loadvideo
1386324828626	layout_decisions2	videoplayed
1386324879034	layout_decisions2	loadvideo
1386324917582	layout_planing	loadvideo
1386324937926	location_decision	loadvideo
1386324937983	location_decision	loadvideo
1386324964756	location_decision	videoplayed
1386324988115	layout_decisions2	loadvideo
1386325001890	layout_decisions2	loadvideo
1386325008910	layout_decisions2	seek_start
1386325009034	layout_decisions2	seek_end
1386325028129	layout_decisions2	seek_start
1386325028223	layout_decisions2	seek_end
1386325030703	layout_decisions2	seek_start
1386325031171	layout_decisions2	seek_end
1386325054353	layout_decisions2	loadvideo
1386325059233	traveling_salesman_problem	loadvideo
1386325140064	dist_layout	loadvideo
1386325175322	location_decision	loadvideo
1386325238729	traveling_salesman_problem	loadvideo
1386325304219	traveling_salesman_problem	videoplayed
1386325355451	capacity_planing	loadvideo
1386325459272	capacity_planing	seek_start
1386325459337	capacity_planing	seek_end
1386325467940	location_decision	loadvideo
1386325502087	traveling_salesman_problem	loadvideo
1386325508332	layout_decisions2	loadvideo
1386325524606	layout_decisions2	seek_start
1386325524675	layout_decisions2	seek_end
1386325528363	layout_decisions2	seek_start
1386325528444	layout_decisions2	seek_end
1386325534703	layout_decisions2	seek_start
1386325534774	layout_decisions2	seek_end
1386325541868	layout_decisions2	seek_start
1386325541922	layout_decisions2	seek_end
