score	row	col	user
926	1	831	xxx
926	1	832	xxx
924	1	833	xxx
924	1	834	xxx
926	1	835	xxx
927	1	836	xxx
923	1	837	xxx
923	1	838	xxx
923	1	839	xxx
927	1	840	xxx
924	1	841	xxx
924	1	842	xxx
924	1	843	xxx
929	1	844	xxx
926	1	845	xxx
926	1	846	xxx
926	1	847	xxx
931	1	848	xxx
926	1	849	xxx
927	1	850	xxx
925	1	851	xxx
929	1	852	xxx
926	1	853	xxx
1015	1	854	xxx
966	1	855	xxx
929	1	856	xxx
925	1	857	xxx
927	1	858	xxx
931	1	859	xxx
926	1	860	xxx
930	1	861	xxx
928	1	862	xxx
928	1	863	xxx
932	1	864	xxx
927	1	865	xxx
933	1	866	xxx
929	1	867	xxx
930	1	868	xxx
929	1	869	xxx
929	1	870	xxx
930	1	871	xxx
928	1	872	xxx
930	1	873	xxx
926	1	874	xxx
928	1	875	xxx
929	1	876	xxx
927	1	877	xxx
925	1	878	xxx
927	1	879	xxx
931	1	880	xxx
925	1	881	xxx
927	1	882	xxx
927	1	883	xxx
926	1	884	xxx
925	1	885	xxx
928	1	886	xxx
926	1	887	xxx
926	1	888	xxx
922	1	889	xxx
925	1	890	xxx
921	1	891	xxx
923	1	892	xxx
923	1	893	xxx
925	1	894	xxx
923	1	895	xxx
922	1	896	xxx
922	1	897	xxx
920	1	898	xxx
920	1	899	xxx
922	1	900	xxx
920	1	901	xxx
920	1	902	xxx
920	1	903	xxx
924	1	904	xxx
923	1	905	xxx
921	1	906	xxx
921	1	907	xxx
929	1	908	xxx
920	1	909	xxx
923	1	910	xxx
919	1	911	xxx
990	1	912	xxx
908	1	913	xxx
906	1	914	xxx
903	1	915	xxx
910	1	916	xxx
906	1	917	xxx
907	1	918	xxx
897	1	919	xxx
909	1	920	xxx
902	1	921	xxx
900	1	922	xxx
899	1	923	xxx
901	1	924	xxx
898	1	925	xxx
896	1	926	xxx
898	1	927	xxx
899	1	928	xxx
896	1	929	xxx
894	1	930	xxx
896	1	931	xxx
898	1	932	xxx
897	1	933	xxx
902	1	934	xxx
894	1	935	xxx
900	1	936	xxx
894	1	937	xxx
893	1	938	xxx
893	1	939	xxx
895	1	940	xxx
892	1	941	xxx
891	1	942	xxx
890	1	943	xxx
890	1	944	xxx
890	1	945	xxx
888	1	946	xxx
888	1	947	xxx
888	1	948	xxx
894	1	949	xxx
891	1	950	xxx
888	1	951	xxx
886	1	952	xxx
887	1	953	xxx
887	1	954	xxx
885	1	955	xxx
885	1	956	xxx
885	1	957	xxx
885	1	958	xxx
885	1	959	xxx
885	1	960	xxx
887	1	961	xxx
885	1	962	xxx
888	1	963	xxx
887	1	964	xxx
887	1	965	xxx
885	1	966	xxx
885	1	967	xxx
885	1	968	xxx
887	1	969	xxx
886	1	970	xxx
886	1	971	xxx
884	1	972	xxx
886	1	973	xxx
884	1	974	xxx
884	1	975	xxx
884	1	976	xxx
888	1	977	xxx
884	1	978	xxx
884	1	979	xxx
884	1	980	xxx
884	1	981	xxx
884	1	982	xxx
884	1	983	xxx
884	1	984	xxx
887	1	985	xxx
885	1	986	xxx
885	1	987	xxx
885	1	988	xxx
883	1	989	xxx
883	1	990	xxx
883	1	991	xxx
883	1	992	xxx
883	1	993	xxx
883	1	994	xxx
885	1	995	xxx
886	1	996	xxx
882	1	997	xxx
882	1	998	xxx
884	1	999	xxx
882	1	1000	xxx
886	1	1001	xxx
884	1	1002	xxx
887	1	1003	xxx
882	1	1004	xxx
884	1	1005	xxx
886	1	1006	xxx
886	1	1007	xxx
882	1	1008	xxx
888	1	1009	xxx
885	1	1010	xxx
883	1	1011	xxx
883	1	1012	xxx
883	1	1013	xxx
883	1	1014	xxx
889	1	1015	xxx
887	1	1016	xxx
901	1	1017	xxx
890	1	1018	xxx
893	1	1019	xxx
891	1	1020	xxx
891	1	1021	xxx
898	1	1022	xxx
888	1	1023	xxx
890	1	1024	xxx
895	1	1025	xxx
893	1	1026	xxx
898	1	1027	xxx
891	1	1028	xxx
899	1	1029	xxx
894	1	1030	xxx
894	1	1031	xxx
892	1	1032	xxx
896	1	1033	xxx
891	1	1034	xxx
895	1	1035	xxx
890	1	1036	xxx
893	1	1037	xxx
891	1	1038	xxx
893	1	1039	xxx
889	1	1040	xxx
890	1	1041	xxx
888	1	1042	xxx
885	1	1043	xxx
888	1	1044	xxx
899	1	1045	xxx
889	1	1046	xxx
893	1	1047	xxx
888	1	1048	xxx
885	1	1049	xxx
893	1	1050	xxx
886	1	1051	xxx
890	1	1052	xxx
886	1	1053	xxx
887	1	1054	xxx
883	1	1055	xxx
883	1	1056	xxx
887	1	1057	xxx
887	1	1058	xxx
887	1	1059	xxx
889	1	1060	xxx
886	1	1061	xxx
883	1	1062	xxx
884	1	1063	xxx
888	1	1064	xxx
876	1	1065	xxx
879	1	1066	xxx
877	1	1067	xxx
879	1	1068	xxx
870	1	1069	xxx
873	1	1070	xxx
869	1	1071	xxx
863	1	1072	xxx
863	1	1073	xxx
872	1	1074	xxx
866	1	1075	xxx
868	1	1076	xxx
863	1	1077	xxx
873	1	1078	xxx
864	1	1079	xxx
869	1	1080	xxx
861	1	1081	xxx
871	1	1082	xxx
864	1	1083	xxx
872	1	1084	xxx
865	1	1085	xxx
871	1	1086	xxx
868	1	1087	xxx
865	1	1088	xxx
863	1	1089	xxx
878	1	1090	xxx
872	1	1091	xxx
875	1	1092	xxx
868	1	1093	xxx
876	1	1094	xxx
871	1	1095	xxx
872	1	1096	xxx
876	1	1097	xxx
877	1	1098	xxx
874	1	1099	xxx
870	1	1100	xxx
877	1	1101	xxx
885	1	1102	xxx
871	1	1103	xxx
873	1	1104	xxx
873	1	1105	xxx
885	1	1106	xxx
872	1	1107	xxx
873	1	1108	xxx
866	1	1109	xxx
880	1	1110	xxx
876	1	1111	xxx
872	1	1112	xxx
872	1	1113	xxx
990	1	1114	xxx
861	1	1115	xxx
862	1	1116	xxx
859	1	1117	xxx
864	1	1118	xxx
845	1	1119	xxx
840	1	1120	xxx
834	1	1121	xxx
847	1	1122	xxx
831	1	1123	xxx
831	1	1124	xxx
829	1	1125	xxx
839	1	1126	xxx
839	1	1127	xxx
846	1	1128	xxx
828	1	1129	xxx
824	1	1130	xxx
818	1	1131	xxx
812	1	1132	xxx
808	1	1133	xxx
809	1	1134	xxx
809	1	1135	xxx
809	1	1136	xxx
806	1	1137	xxx
803	1	1138	xxx
799	1	1139	xxx
803	1	1140	xxx
802	1	1141	xxx
800	1	1142	xxx
802	1	1143	xxx
797	1	1144	xxx
795	1	1145	xxx
799	1	1146	xxx
797	1	1147	xxx
798	1	1148	xxx
796	1	1149	xxx
800	1	1150	xxx
794	1	1151	xxx
792	1	1152	xxx
790	1	1153	xxx
794	1	1154	xxx
795	1	1155	xxx
793	1	1156	xxx
791	1	1157	xxx
791	1	1158	xxx
796	1	1159	xxx
794	1	1160	xxx
792	1	1161	xxx
790	1	1162	xxx
790	1	1163	xxx
791	1	1164	xxx
789	1	1165	xxx
789	1	1166	xxx
789	1	1167	xxx
791	1	1168	xxx
788	1	1169	xxx
788	1	1170	xxx
790	1	1171	xxx
791	1	1172	xxx
789	1	1173	xxx
788	1	1174	xxx
792	1	1175	xxx
789	1	1176	xxx
791	1	1177	xxx
794	1	1178	xxx
789	1	1179	xxx
787	1	1180	xxx
787	1	1181	xxx
786	1	1182	xxx
786	1	1183	xxx
790	1	1184	xxx
787	1	1185	xxx
790	1	1186	xxx
788	1	1187	xxx
789	1	1188	xxx
788	1	1189	xxx
786	1	1190	xxx
788	1	1191	xxx
786	1	1192	xxx
791	1	1193	xxx
788	1	1194	xxx
788	1	1195	xxx
781	1	1196	xxx
782	1	1197	xxx
780	1	1198	xxx
783	1	1199	xxx
778	1	1200	xxx
778	1	1201	xxx
778	1	1202	xxx
781	1	1203	xxx
779	1	1204	xxx
778	1	1205	xxx
777	1	1206	xxx
785	1	1207	xxx
774	1	1208	xxx
779	1	1209	xxx
771	1	1210	xxx
780	1	1211	xxx
776	1	1212	xxx
771	1	1213	xxx
769	1	1214	xxx
771	1	1215	xxx
769	1	1216	xxx
773	1	1217	xxx
770	1	1218	xxx
776	1	1219	xxx
770	1	1220	xxx
774	1	1221	xxx
769	1	1222	xxx
771	1	1223	xxx
769	1	1224	xxx
769	1	1225	xxx
770	1	1226	xxx
772	1	1227	xxx
772	1	1228	xxx
773	1	1229	xxx
771	1	1230	xxx
775	1	1231	xxx
775	1	1232	xxx
771	1	1233	xxx
769	1	1234	xxx
777	1	1235	xxx
775	1	1236	xxx
770	1	1237	xxx
769	1	1238	xxx
774	1	1239	xxx
943	1	1240	xxx
765	1	1241	xxx
761	1	1242	xxx
761	1	1243	xxx
754	1	1244	xxx
750	1	1245	xxx
749	1	1246	xxx
753	1	1247	xxx
748	1	1248	xxx
747	1	1249	xxx
747	1	1250	xxx
749	1	1251	xxx
745	1	1252	xxx
745	1	1253	xxx
746	1	1254	xxx
744	1	1255	xxx
748	1	1256	xxx
745	1	1257	xxx
748	1	1258	xxx
744	1	1259	xxx
751	1	1260	xxx
748	1	1261	xxx
746	1	1262	xxx
744	1	1263	xxx
747	1	1264	xxx
743	1	1265	xxx
743	1	1266	xxx
745	1	1267	xxx
744	1	1268	xxx
742	1	1269	xxx
742	1	1270	xxx
742	1	1271	xxx
748	1	1272	xxx
746	1	1273	xxx
744	1	1274	xxx
746	1	1275	xxx
748	1	1276	xxx
744	1	1277	xxx
746	1	1278	xxx
744	1	1279	xxx
749	1	1280	xxx
746	1	1281	xxx
746	1	1282	xxx
750	1	1283	xxx
750	1	1284	xxx
748	1	1285	xxx
749	1	1286	xxx
751	1	1287	xxx
750	1	1288	xxx
747	1	1289	xxx
749	1	1290	xxx
748	1	1291	xxx
753	1	1292	xxx
750	1	1293	xxx
750	1	1294	xxx
746	1	1295	xxx
749	1	1296	xxx
751	1	1297	xxx
747	1	1298	xxx
745	1	1299	xxx
752	1	1300	xxx
745	1	1301	xxx
745	1	1302	xxx
745	1	1303	xxx
747	1	1304	xxx
745	1	1305	xxx
750	1	1306	xxx
752	1	1307	xxx
749	1	1308	xxx
748	1	1309	xxx
753	1	1310	xxx
750	1	1311	xxx
750	1	1312	xxx
750	1	1313	xxx
752	1	1314	xxx
752	1	1315	xxx
753	1	1316	xxx
