time	group	action
1386357808734	1	videoplayed
1386357918371	1	seek
1386357918809	1	seek
1386357954192	1	videopaused
1386357945764	303	videopaused
1386357961205	1	videoplayed
1386357956809	303	videoplayed
1386358001256	1	videopaused
1386358006224	1	videoplayed
1386358670674	1	videopaused
1386358684674	1	videoplayed
1386358768709	303	videopaused
1386358871386	1	videopaused
1386358894346	1	videoplayed
1386358899130	1	videopaused
1386358904058	1	videoplayed
1386358913338	1	videopaused
1386358919402	1	videoplayed
1386359531886	1	videoplayed
1386359538310	1	videopaused
1386359574637	1	videoplayed
1386359684486	1	videopaused
1386365123628	301	loadvideo
1386365208217	301	loadvideo
1386369674642	301	loadvideo
1386369683926	301	seek
1386369684044	301	seek
1386370124348	301	loadvideo
1386370172733	301	videoplayed
1386370179572	301	loadvideo
1386370187300	303	loadvideo
1386370194216	305	loadvideo
1386370196551	304	loadvideo
1386370218485	301	loadvideo
1386370233662	301	assessmentdisplaybegin
1386370652305	301	videoplayed
1386370655493	301	seek
1386370655614	301	seek
1386382076495	303	videoplayed
1386382193455	303	seek
1386382194017	303	seek
1386382716104	303	videopaused
1386382955158	303	videoplayed
1386383209998	303	videopaused
1386383243444	303	videoplayed
1386383629491	303	videopaused
1386385871120	303	videoplayed
1386386402275	303	videoended
1386386402275	303	videoended
1386386417549	304	loadvideo
1386400640198	301	loadvideo
1386400659711	301	videoplayed
1386400668996	303	loadvideo
1386400672081	305	loadvideo
1386400675532	304	loadvideo
1386400678090	306	loadvideo
1386400693522	306	videoplayed
1386400694740	306	videopaused
1386400696673	306	videoplayed
1386400799532	301	loadvideo
1386400812194	301	videoplayed
1386402142784	201	loadvideo
1386402207208	202	loadvideo
1386402224025	202	videoplayed
1386402264916	201	loadvideo
1386402303250	202	loadvideo
1386402306687	203	loadvideo
1386402309903	202	loadvideo
1386402317475	202	videoplayed
1386404412657	2	loadvideo
1386404445579	2	loadvideo
1386404485803	11	loadvideo
1386405805274	201	loadvideo
1386406029989	201	videoplayed
1386406058689	205	loadvideo
1386407832136	201	loadvideo
1386408105562	202	loadvideo
1386408155735	202	seek
1386408155853	202	seek
1386408192305	204	loadvideo
1386408325718	205	loadvideo
1386408374155	207	loadvideo
1386408436789	207	videopaused
1386408472752	207	videoplayed
1386408585887	207	videopaused
1386408608036	207	videoplayed
1386408661690	207	videopaused
1386408720059	207	videoplayed
1386408779997	207	videopaused
1386408789949	201	loadvideo
1386408798602	207	loadvideo
1386408802732	207	seek
1386408802873	207	seek
1386408809026	207	seek
1386408809188	207	seek
1386408812324	207	seek
1386408812523	207	seek
1386408958797	207	videopaused
1386409796404	207	videoplayed
1386410813510	207	videopaused
1386410992280	207	videoplayed
1386411092821	207	videopaused
1386411335491	207	seek
1386411335599	207	seek
1386411340848	207	seek
1386411340960	207	seek
1386412518791	304	videoplayed
1386412531489	304	seek
1386412531536	304	seek
1386412531598	304	seek
1386412531723	304	seek
1386413764164	201	loadvideo
1386413774854	209	loadvideo
1386413802093	209	videopaused
1386413836421	209	videoplayed
1386413851465	304	videopaused
1386413943898	209	videopaused
1386414060894	304	videoplayed
1386414745606	304	videopaused
1386414956754	304	videoplayed
1386415001276	304	videopaused
1386415217529	304	videoplayed
1386415746574	304	videoended
1386415746574	304	videoended
1386415752346	303	loadvideo
1386415761249	303	seek
1386415761358	303	seek
1386415763605	303	seek
1386415763729	303	seek
1386415766678	303	seek
1386415766912	303	seek
1386415774103	303	seek
1386415774228	303	seek
1386415786490	305	loadvideo
1386415819610	305	videopaused
1386417365579	201	loadvideo
1386417773611	201	loadvideo
1386417783993	201	videopaused
1386418068516	201	loadvideo
1386421628958	305	videoplayed
1386421638677	305	seek
1386421638817	305	seek
1386421639659	305	seek
1386421639800	305	seek
1386422052182	305	videopaused
1386422084241	305	videoplayed
1386422211238	305	videopaused
1386422233102	305	videoplayed
1386422494677	305	videopaused
1386422511525	305	videoplayed
1386422711696	305	videopaused
1386422772748	305	videoplayed
1386422818316	305	videopaused
1386422958847	305	videoplayed
1386423663998	305	videopaused
1386423695475	305	videoplayed
1386424107963	305	videopaused
1386424145543	305	videoplayed
1386425108923	301	loadvideo
1386425140623	301	assessmentdisplaybegin
1386425186247	301	loadvideo
1386425291556	305	loadvideo
1386425300620	305	seek
1386425300947	305	seek
1386425581740	305	videopaused
1386425596888	305	videoplayed
1386425922210	305	videoended
1386425922226	305	videoended
1386425924535	306	loadvideo
1386425941991	306	assessmentdisplaybegin
1386425955900	306	submitassessmenttask
1386425967631	306	videoplayed
1386425998441	306	videopaused
1386426416911	2	loadvideo
1386426434202	2	videopaused
1386426848357	306	videoplayed
